,time,model_I,model_R,model_V,model_I_vega,model_R_vega,model_V_vega
0,2458488,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
1,2458489,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
2,2458490,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
3,2458491,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
4,2458492,13.44685223959787,13.115460973788625,14.13053788691187,12.996852239597871,12.905460973788625,14.110537886911871
5,2458493,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
6,2458494,13.63673963183533,13.294830064608963,14.389880565459631,13.18673963183533,13.084830064608962,14.369880565459631
7,2458495,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
8,2458496,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
9,2458497,13.397519261020758,13.072546732077878,14.068783162075444,12.947519261020759,12.862546732077877,14.048783162075445
10,2458498,13.363289807127597,13.047014049577623,14.029299814206023,12.913289807127597,12.837014049577622,14.009299814206024
11,2458499,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
12,2458500,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
13,2458501,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
14,2458502,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
15,2458503,13.54155180044921,13.196289649518828,14.251167485667136,13.09155180044921,12.986289649518827,14.231167485667136
16,2458504,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
17,2458505,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
18,2458506,13.371673389799628,13.05111776898934,14.037451797622818,12.92167338979963,12.841117768989339,14.017451797622819
19,2458507,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
20,2458508,13.59264201599468,13.244261667633449,14.321386880460548,13.142642015994682,13.034261667633448,14.301386880460548
21,2458509,13.63338983939035,13.285841282095856,14.380886342511001,13.183389839390351,13.075841282095855,14.360886342511002
22,2458510,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
23,2458511,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
24,2458512,13.373170132786225,13.055499220757763,14.041341554911558,12.923170132786225,12.845499220757763,14.021341554911558
25,2458513,13.364957238167964,13.0515309620238,14.033389384994546,12.914957238167965,12.8415309620238,14.013389384994547
26,2458514,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
27,2458515,13.548260891126017,13.205571956236152,14.262430181012089,13.098260891126017,12.995571956236152,14.24243018101209
28,2458516,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
29,2458517,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
30,2458518,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
31,2458519,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
32,2458520,13.351280927270825,13.040360646729898,14.01700346776887,12.901280927270825,12.830360646729897,13.99700346776887
33,2458521,13.397519261020758,13.072546732077878,14.068783162075444,12.947519261020759,12.862546732077877,14.048783162075445
34,2458522,13.50084703416881,13.158711682026773,14.196886615330254,13.050847034168811,12.948711682026772,14.176886615330254
35,2458523,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
36,2458524,13.63673963183533,13.294830064608963,14.389880565459631,13.18673963183533,13.084830064608962,14.369880565459631
37,2458525,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
38,2458526,13.450822220149714,13.117914392008966,14.134970494813064,13.000822220149715,12.907914392008966,14.114970494813065
39,2458527,13.363920367495947,13.05077091368545,14.032173340044547,12.913920367495948,12.84077091368545,14.012173340044548
40,2458528,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
41,2458529,13.459404464122965,13.122306019368455,14.143695482016188,13.009404464122966,12.912306019368454,14.123695482016188
42,2458530,13.575087705809114,13.231867020422381,14.29986817089694,13.125087705809115,13.02186702042238,14.27986817089694
